Feature,Importance
cat__Dept_19,3.9088430299276246e-08
cat__Dept_98,3.851319480926999e-08
cat__Dept_99,3.5538661790146915e-08
cat__Dept_35,3.137534356690803e-08
cat__Dept_65,3.1203148643095596e-08
cat__Dept_52,2.9404188783546154e-08
cat__Store_5,2.8877662274117015e-08
cat__Dept_44,2.7835134582919638e-08
cat__Dept_29,1.7229591540303465e-08
cat__Store_44,1.2699077876637036e-08
cat__Store_33,1.1903037297776144e-08
cat__Dept_50,1.0661457213676393e-08
cat__Dept_21,1.0645542034331575e-08
cat__Store_37,9.515464643311414e-09
cat__Dept_28,9.124916200619215e-09
cat__Dept_37,7.54569606686184e-09
cat__Dept_54,4.718413205396055e-09
cat__Dept_60,3.619516768502921e-09
cat__Dept_47,1.3919974060545877e-09
cat__Dept_45,9.876819395205922e-10
cat__Dept_77,9.724291715875293e-10
cat__Dept_51,1.0667965938053235e-10
cat__Dept_78,2.0780906052158558e-13
num__MarkDown4_Generated_Missing_Flag,0.0
cat__Dept_43,0.0
cat__Dept_39,0.0
num__MarkDown3_Generated_Missing_Flag,0.0
num__MarkDown1_Generated_Missing_Flag,0.0
num__MarkDown5_Generated_Missing_Flag,0.0
num__MarkDown2_Generated_Missing_Flag,0.0
